ApplicantID,DateOfApplication,Name,Department,Source,Stage,DaysInStage,StatusNextStage
1001,21-05-2025,Ahmed Al Mansoori,Engineering,Company Website,Applications,4,Advanced
1001,25-05-2025,Ahmed Al Mansoori,Engineering,Company Website,Screening,2,Advanced
1001,27-05-2025,Ahmed Al Mansoori,Engineering,Company Website,Interviewed,9,Advanced
1001,05-06-2025,Ahmed Al Mansoori,Engineering,Company Website,Offered,7,Advanced
1001,12-06-2025,Ahmed Al Mansoori,Engineering,Company Website,Hired,2,Hired
1002,16-09-2025,Fatima Al Neyadi,Finance,Indeed,Applications,10,Advanced
1002,26-09-2025,Fatima Al Neyadi,Finance,Indeed,Screening,4,Dropped
1003,23-04-2025,Khaled Al Falasi,Marketing,Referral,Applications,8,Advanced
1003,01-05-2025,Khaled Al Falasi,Marketing,Referral,Screening,1,Dropped
1004,24-06-2025,Mariam Hassan,Marketing,Indeed,Applications,5,Advanced
1004,29-06-2025,Mariam Hassan,Marketing,Indeed,Screening,6,Advanced
1004,05-07-2025,Mariam Hassan,Marketing,Indeed,Interviewed,7,Advanced
1004,12-07-2025,Mariam Hassan,Marketing,Indeed,Offered,6,Rejected
1005,05-03-2025,Saeed Al Mazrouei,Marketing,Company Website,Applications,7,Advanced
1005,12-03-2025,Saeed Al Mazrouei,Marketing,Company Website,Screening,5,Dropped
1006,09-04-2025,Noor Al Ali,HR,Referral,Applications,2,Advanced
1006,11-04-2025,Noor Al Ali,HR,Referral,Screening,4,Dropped
1007,21-02-2025,Zayed Al Hammadi,Finance,Company Website,Applications,7,Advanced
1007,28-02-2025,Zayed Al Hammadi,Finance,Company Website,Screening,6,Advanced
1007,06-03-2025,Zayed Al Hammadi,Finance,Company Website,Interviewed,6,Advanced
1007,12-03-2025,Zayed Al Hammadi,Finance,Company Website,Offered,5,Hired
1008,29-03-2025,Aisha Al Suwaidi,Sales,Company Website,Applications,9,Dropped
1009,14-07-2025,Majid Al Shamsi,Marketing,Indeed,Applications,5,Rejected
1010,16-06-2025,Yara Abdulrahman,Finance,Referral,Applications,1,Advanced
1010,17-06-2025,Yara Abdulrahman,Finance,Referral,Screening,1,Dropped
1011,03-02-2025,Jaison Thomas,HR,LinkedIn,Applications,4,Rejected
1012,19-04-2025,Anjali Nair,HR,Referral,Applications,8,Advanced
1012,27-04-2025,Anjali Nair,HR,Referral,Screening,8,Advanced
1012,05-05-2025,Anjali Nair,HR,Referral,Interviewed,3,Advanced
1012,08-05-2025,Anjali Nair,HR,Referral,Offered,9,Dropped
1013,24-07-2025,Rakesh Kumar,Marketing,Referral,Applications,6,Advanced
1013,30-07-2025,Rakesh Kumar,Marketing,Referral,Screening,3,Advanced
1013,02-08-2025,Rakesh Kumar,Marketing,Referral,Interviewed,2,Dropped
1014,23-03-2025,Priya Menon,Finance,Company Website,Applications,7,Advanced
1014,30-03-2025,Priya Menon,Finance,Company Website,Screening,7,Advanced
1014,06-04-2025,Priya Menon,Finance,Company Website,Interviewed,8,Advanced
1014,14-04-2025,Priya Menon,Finance,Company Website,Offered,9,Hired
1015,17-05-2025,John Mathew,Engineering,Company Website,Applications,6,Advanced
1015,23-05-2025,John Mathew,Engineering,Company Website,Screening,7,Advanced
1015,30-05-2025,John Mathew,Engineering,Company Website,Interviewed,1,Rejected
1016,02-04-2025,Deepa Varghese,Sales,Job Fair,Applications,9,Rejected
1017,12-04-2025,Suresh Pillai,Sales,Job Fair,Applications,3,Advanced
1017,15-04-2025,Suresh Pillai,Sales,Job Fair,Screening,3,Advanced
1017,18-04-2025,Suresh Pillai,Sales,Job Fair,Interviewed,9,Rejected
1018,08-09-2025,Nisha Alex,HR,Referral,Applications,1,Advanced
1018,09-09-2025,Nisha Alex,HR,Referral,Screening,6,Rejected
1019,30-01-2025,Shaji Thomas,Finance,Job Fair,Applications,4,Rejected
1020,06-09-2025,Reena Joseph,Engineering,Company Website,Applications,2,Rejected
1021,07-03-2025,Mohamed Al Zaabi,Finance,Referral,Applications,8,Rejected
1022,28-09-2025,Huda Al Jabri,HR,Indeed,Applications,10,Advanced
1022,08-10-2025,Huda Al Jabri,HR,Indeed,Screening,4,Rejected
1023,24-07-2025,Rashid Al Suwaidi,HR,Indeed,Applications,6,Advanced
1023,30-07-2025,Rashid Al Suwaidi,HR,Indeed,Screening,9,Advanced
1023,08-08-2025,Rashid Al Suwaidi,HR,Indeed,Interviewed,4,Advanced
1023,12-08-2025,Rashid Al Suwaidi,HR,Indeed,Offered,6,Advanced
1023,18-08-2025,Rashid Al Suwaidi,HR,Indeed,Hired,9,Hired
1024,23-04-2025,Latifa Al Dhaheri,Sales,Indeed,Applications,1,Advanced
1024,24-04-2025,Latifa Al Dhaheri,Sales,Indeed,Screening,1,Advanced
1024,25-04-2025,Latifa Al Dhaheri,Sales,Indeed,Interviewed,1,Rejected
1025,02-05-2025,Abdullah Al Nuaimi,Sales,Company Website,Applications,5,Advanced
1025,07-05-2025,Abdullah Al Nuaimi,Sales,Company Website,Screening,4,Advanced
1025,11-05-2025,Abdullah Al Nuaimi,Sales,Company Website,Interviewed,10,Advanced
1025,21-05-2025,Abdullah Al Nuaimi,Sales,Company Website,Offered,4,Hired
1026,18-02-2025,Leena George,Finance,LinkedIn,Applications,2,Advanced
1026,20-02-2025,Leena George,Finance,LinkedIn,Screening,6,Advanced
1026,26-02-2025,Leena George,Finance,LinkedIn,Interviewed,8,Rejected
1027,01-02-2025,Anil Kumar,Engineering,Company Website,Applications,7,Dropped
1028,09-04-2025,Thomas Kuriakose,Finance,Company Website,Applications,4,Advanced
1028,13-04-2025,Thomas Kuriakose,Finance,Company Website,Screening,3,Advanced
1028,16-04-2025,Thomas Kuriakose,Finance,Company Website,Interviewed,5,Advanced
1028,21-04-2025,Thomas Kuriakose,Finance,Company Website,Offered,2,Advanced
1028,23-04-2025,Thomas Kuriakose,Finance,Company Website,Hired,9,Hired
1029,08-01-2025,Sajna Thomas,Engineering,Company Website,Applications,2,Rejected
1030,28-07-2025,Binu Mathew,Finance,Indeed,Applications,8,Advanced
1030,05-08-2025,Binu Mathew,Finance,Indeed,Screening,7,Rejected
1031,02-01-2025,Joel Abraham,Marketing,Indeed,Applications,7,Advanced
1031,09-01-2025,Joel Abraham,Marketing,Indeed,Screening,8,Advanced
1031,17-01-2025,Joel Abraham,Marketing,Indeed,Interviewed,9,Advanced
1031,26-01-2025,Joel Abraham,Marketing,Indeed,Offered,8,Advanced
1031,03-02-2025,Joel Abraham,Marketing,Indeed,Hired,5,Hired
1032,01-02-2025,Arun John,Engineering,Indeed,Applications,6,Advanced
1032,07-02-2025,Arun John,Engineering,Indeed,Screening,10,Advanced
1032,17-02-2025,Arun John,Engineering,Indeed,Interviewed,9,Advanced
1032,26-02-2025,Arun John,Engineering,Indeed,Offered,9,Advanced
1032,07-03-2025,Arun John,Engineering,Indeed,Hired,3,Hired
1033,04-02-2025,Saniya Paul,Sales,Company Website,Applications,4,Advanced
1033,08-02-2025,Saniya Paul,Sales,Company Website,Screening,10,Advanced
1033,18-02-2025,Saniya Paul,Sales,Company Website,Interviewed,10,Advanced
1033,28-02-2025,Saniya Paul,Sales,Company Website,Offered,2,Advanced
1033,02-03-2025,Saniya Paul,Sales,Company Website,Hired,10,Hired
1034,11-06-2025,Riya Thomas,Sales,Referral,Applications,5,Advanced
1034,16-06-2025,Riya Thomas,Sales,Referral,Screening,6,Advanced
1034,22-06-2025,Riya Thomas,Sales,Referral,Interviewed,7,Advanced
